dataset,model,repeat,MAPE,MAE,RMSE
batlik/corona,RandomForest,15,3.807299419957217,0.05598611111111112,0.07604388421424103
batlik/corona,LinearRegression,16,11.850006712640461,0.1762627825068087,0.25559449623163644
batlik/corona,RandomForest,16,3.591458557798905,0.05226406250000004,0.07280593079569678
batlik/corona,LinearRegression,17,12.036551421881638,0.17697855860068384,0.25657347687953364
batlik/corona,RandomForest,17,3.824138169621083,0.05523593750000003,0.07462436941386287
batlik/corona,LinearRegression,18,12.018627771864148,0.1820122312848128,0.2697085669767505
batlik/corona,RandomForest,18,3.5539787960873106,0.0535182291666667,0.0792688118445711
batlik/corona,LinearRegression,19,12.07797909774842,0.1821253160209856,0.261313375736258
batlik/corona,RandomForest,19,3.7142089921901267,0.05448524305555561,0.07377752111265178
batlik/corona,LinearRegression,20,12.514140992980971,0.1880204679816497,0.2661806127032764
batlik/corona,RandomForest,20,3.500904834427718,0.05190555555555562,0.06948757108089353
batlik/corona,LinearRegression,21,11.70741097674553,0.17895605561407268,0.26406912019859785
batlik/corona,RandomForest,21,3.625136312938146,0.05442586805555559,0.07541174442960905
batlik/corona,LinearRegression,22,12.135595936789928,0.17560767584031944,0.25069021351551696
batlik/corona,RandomForest,22,3.554516555185356,0.051226041666666694,0.06963098518060926
batlik/corona,LinearRegression,23,13.611101300777662,0.1950412825340221,0.2703929696265729
batlik/corona,RandomForest,23,3.657521394707566,0.05174774305555553,0.067700324782784
batlik/corona,LinearRegression,24,12.077089370031382,0.18161726357119695,0.26412802626403525
batlik/corona,RandomForest,24,3.8552166113265187,0.058302604166666626,0.08180338269374253
batlik/corona,LinearRegression,25,11.62246589392672,0.18762452410148056,0.28495866864993347
batlik/corona,RandomForest,25,3.582209692779649,0.05463298611111116,0.07603409688349629
batlik/corona,LinearRegression,26,12.05734038628408,0.1799691055242278,0.2560191598352547
batlik/corona,RandomForest,26,3.676123168982173,0.05411614583333332,0.0752365227641396
batlik/corona,LinearRegression,27,12.014956595093757,0.17659805423835598,0.2545677597848399
batlik/corona,RandomForest,27,3.729458795680049,0.05349774305555554,0.07126306934228507
batlik/corona,LinearRegression,28,11.931860356324453,0.17971921027444165,0.2649622351180109
batlik/corona,RandomForest,28,3.666809322207977,0.05408107638888895,0.07440895221771973
batlik/corona,LinearRegression,29,12.507552164688713,0.18751582778580236,0.2687745073751664
batlik/corona,RandomForest,29,3.7712490309387885,0.0546711805555556,0.07206642600368401
batlik/cranium,LinearRegression,0,3.312291015698813,0.06891118490961443,0.09509223987501615
batlik/cranium,RandomForest,0,2.111875117544736,0.0412789930555556,0.05391943176191473
batlik/cranium,LinearRegression,1,3.219285579228695,0.06585145961876307,0.09399888030993445
batlik/cranium,RandomForest,1,2.0636039979213456,0.039833680555555584,0.05260866465918161
batlik/cranium,LinearRegression,2,3.4807470685229513,0.07227785529268885,0.10116437987214265
batlik/cranium,RandomForest,2,2.2382008794792334,0.044219097222222344,0.05746812612947578
batlik/cranium,LinearRegression,3,3.3430141511939486,0.06950669215281596,0.0976275145746226
batlik/cranium,RandomForest,3,2.1054967702845904,0.04160729166666672,0.0542254187781586
batlik/cranium,LinearRegression,4,3.3781955559494197,0.07210275284123793,0.10241855286409803
batlik/cranium,RandomForest,4,2.0309034886394453,0.041269444444444456,0.055809078064813486
batlik/cranium,LinearRegression,5,3.582966425513516,0.0739074400410617,0.10175278027741795
batlik/cranium,RandomForest,5,2.1517797056093437,0.04198940972222231,0.05549290385690972
batlik/cranium,LinearRegression,6,3.3194356046475764,0.07015392762667244,0.09741315022709156
batlik/cranium,RandomForest,6,2.159361174946808,0.04340555555555556,0.05660326692328709
batlik/cranium,LinearRegression,7,3.277255669136555,0.06677546877762731,0.0914842306916223
batlik/cranium,RandomForest,7,2.1188584232872523,0.04148680555555558,0.05267987637608883
batlik/cranium,LinearRegression,8,3.2753329672228872,0.06826294027393541,0.0960367983883963
batlik/cranium,RandomForest,8,2.055707968490323,0.04107795138888892,0.05423505314446858
batlik/cranium,LinearRegression,9,3.221647013039118,0.06762994260848945,0.09284563048970075
batlik/cranium,RandomForest,9,1.9941396703470424,0.039357465277777885,0.05092011700666283
batlik/cranium,LinearRegression,10,3.358244910861384,0.07090095041255891,0.09920260517254433
batlik/cranium,RandomForest,10,2.1292977293647257,0.041847395833333356,0.05469701758449806
batlik/cranium,LinearRegression,11,3.215521664693349,0.06705461093499808,0.09330818106972458
batlik/cranium,RandomForest,11,2.0233385257177217,0.04032743055555551,0.053711429313404765
batlik/cranium,LinearRegression,12,3.313024661331443,0.06799647318730928,0.09333405029302166
batlik/cranium,RandomForest,12,2.169476293409887,0.04231145833333343,0.05442125554923881
batlik/cranium,LinearRegression,13,3.4045421068011597,0.07101181933083126,0.09741676907423374
batlik/cranium,RandomForest,13,2.1569197004185106,0.041920486111111085,0.05488712944914012
batlik/cranium,LinearRegression,14,3.2302695976765197,0.06778940077735092,0.09253091843187174
batlik/cranium,RandomForest,14,2.0341169505195804,0.04043854166666669,0.051877799121268345
batlik/cranium,LinearRegression,15,3.448803686819995,0.06995228285171441,0.09962350857883817
batlik/cranium,RandomForest,15,2.201461831830291,0.042717187500000114,0.05551843991088815
batlik/cranium,LinearRegression,16,3.158528674921098,0.06707463304021734,0.09482917897698417
batlik/cranium,RandomForest,16,2.0373312059821176,0.040488020833333346,0.05349052112939682
batlik/cranium,LinearRegression,17,3.3625391379942497,0.07027486727321203,0.09776647166961946
batlik/cranium,RandomForest,17,2.0350989484885558,0.03986440972222221,0.05279119787347758
batlik/cranium,LinearRegression,18,3.342101534293984,0.07075035665625555,0.09846236811179006
batlik/cranium,RandomForest,18,1.984754354464706,0.039885243055555554,0.051473464205948984
batlik/cranium,LinearRegression,19,3.439541511740924,0.07298589918400271,0.10072007650156413
batlik/cranium,RandomForest,19,2.1111465656862256,0.0420979166666667,0.05496624595553577
batlik/cranium,LinearRegression,20,3.3836411385428367,0.07201656099920678,0.10071868687694284
batlik/cranium,RandomForest,20,2.061206589007731,0.04124704861111112,0.05359295387325757
batlik/cranium,LinearRegression,21,3.215501553858043,0.0685084100692387,0.09868463604301717
batlik/cranium,RandomForest,21,2.048263604079369,0.040382986111111165,0.05253661223375567
batlik/cranium,LinearRegression,22,3.3525744869056795,0.06819703420182055,0.0943539584077597
batlik/cranium,RandomForest,22,2.143220995411143,0.04153802083333338,0.053338109649407606
batlik/cranium,LinearRegression,23,3.6187917845401025,0.07394448990008505,0.10087053887966577
batlik/cranium,RandomForest,23,2.1145256679961557,0.041479687500000056,0.05461258328876436
batlik/cranium,LinearRegression,24,3.3166143574778366,0.06874589963607167,0.09740866805573013
batlik/cranium,RandomForest,24,2.058642503947598,0.040859548611111074,0.054355490912704536
batlik/cranium,LinearRegression,25,3.4303417402095056,0.07292908556301804,0.10316920718148313
batlik/cranium,RandomForest,25,2.171903087784586,0.04340000000000009,0.0575207103403249
batlik/cranium,LinearRegression,26,3.251741481653087,0.06802420852915386,0.09719157313843946
batlik/cranium,RandomForest,26,2.092455127121453,0.041967187499999996,0.055875777554868146
batlik/cranium,LinearRegression,27,3.2616264912483213,0.06718043561567302,0.09501311848442881
batlik/cranium,RandomForest,27,2.0624394605036898,0.03966041666666674,0.05106194529142463
batlik/cranium,LinearRegression,28,3.306644696214799,0.06997569085321792,0.09717893663901216
batlik/cranium,RandomForest,28,2.0993422345046504,0.04112118055555557,0.05304041665193732
batlik/cranium,LinearRegression,29,3.422809591455237,0.0713105677966566,0.09945851943621871
batlik/cranium,RandomForest,29,2.0826426730454974,0.041353472222222284,0.054799158549906406
batlik/cubus,LinearRegression,0,3.802429625032248,0.23352188180706207,0.3182386613716603
batlik/cubus,RandomForest,0,1.9642145584078003,0.11930312500000012,0.1536639001242285
batlik/cubus,LinearRegression,1,3.8721374148736185,0.23557288121012052,0.3253504665114006
batlik/cubus,RandomForest,1,2.029448920108533,0.12219565972222234,0.15677217463435078
batlik/cubus,LinearRegression,2,4.0327582322681,0.2474437337087204,0.33567810760779127
batlik/cubus,RandomForest,2,2.107316165582851,0.1290553819444442,0.16777405474782964
batlik/cubus,LinearRegression,3,3.92830237967151,0.2417666801399142,0.33069700560232956
batlik/cubus,RandomForest,3,2.1024348564867186,0.1291965277777779,0.16717855162968734
batlik/cubus,LinearRegression,4,4.007836466388646,0.24974980769017469,0.3481964057974564
batlik/cubus,RandomForest,4,1.9977032548844778,0.12322010416666679,0.1624060856032564
batlik/cubus,LinearRegression,5,4.065065887309335,0.24882142295490428,0.33974533914658384
batlik/cubus,RandomForest,5,2.052504958737655,0.12388628472222253,0.1590438456644901
batlik/cubus,LinearRegression,6,3.93854810521775,0.2451937775556421,0.3360862541928972
batlik/cubus,RandomForest,6,2.0573046400982897,0.12767100694444455,0.16751615381268292
batlik/cubus,LinearRegression,7,3.9663202477725306,0.23975674826744267,0.3201430437431536
batlik/cubus,RandomForest,7,2.1474925597445185,0.12897410300925943,0.16394364687417798
batlik/cubus,LinearRegression,8,3.8114015694251853,0.23653068710592903,0.3249302213127414
batlik/cubus,RandomForest,8,2.0040007409681078,0.12408590277777774,0.16255147013928975
batlik/cubus,LinearRegression,9,3.8632368164231545,0.2389772282076636,0.33177895781992395
batlik/cubus,RandomForest,9,2.097051958020448,0.1284114583333335,0.16695675255054004
batlik/cubus,LinearRegression,10,4.150889057205016,0.25723556719544516,0.3556450877995139
batlik/cubus,RandomForest,10,2.128047969483672,0.1297237847222222,0.16497045763518126
batlik/cubus,LinearRegression,11,3.945119326001037,0.24426820123564458,0.3260619598685593
batlik/cubus,RandomForest,11,2.099676632230503,0.1298602430555556,0.16959688863719358
batlik/cubus,LinearRegression,12,3.82536528990626,0.23244004428192147,0.31819122165046815
batlik/cubus,RandomForest,12,2.0654305607123833,0.12587656250000012,0.162916464034401
batlik/cubus,LinearRegression,13,3.897752548178848,0.24212564097559053,0.33569070943002366
batlik/cubus,RandomForest,13,2.056925621344064,0.1254743055555556,0.1586053194603229
batlik/cubus,LinearRegression,14,3.864548403575906,0.23723453445907397,0.325021326351737
batlik/cubus,RandomForest,14,1.8939925147758205,0.11580187499999998,0.14925569472199185
batlik/cubus,LinearRegression,15,3.841999841470864,0.23758084790772374,0.32626264821784384
batlik/cubus,RandomForest,15,2.0603657778905364,0.1269454861111112,0.16435350651618816
batlik/cubus,LinearRegression,16,3.9033405213258847,0.24310493254346324,0.33490117426342925
batlik/cubus,RandomForest,16,2.053438884305078,0.12699414457070693,0.16685630387670153
batlik/cubus,LinearRegression,17,3.986528132749841,0.2448057303796758,0.3358994519472608
batlik/cubus,RandomForest,17,2.0755994934529722,0.12563975694444451,0.16277789939438983
batlik/cubus,LinearRegression,18,3.9676834314319653,0.24680768852666946,0.3448545177172537
batlik/cubus,RandomForest,18,1.981529887255246,0.12320920138888912,0.16520653755854622
batlik/cubus,LinearRegression,19,3.9893226803862105,0.2503389605507804,0.3409381874670108
batlik/cubus,RandomForest,19,2.1135202828185666,0.13276814236111145,0.17145781263843626
batlik/cubus,LinearRegression,20,4.030225365241938,0.25126256611274456,0.3402478663064908
batlik/cubus,RandomForest,20,1.9700688202891288,0.12163003472222231,0.15525682268288044
batlik/cubus,LinearRegression,21,3.913688182867567,0.24366177478075102,0.3379925856856459
batlik/cubus,RandomForest,21,2.042731814208255,0.12550468749999985,0.16358639064684177
batlik/cubus,LinearRegression,22,3.8484655779993444,0.2352923913303255,0.3201696321505588
